vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
ggji,1,5.0,2,Good Quality Product . Highly Recommend 👍,The,
q1p5,3,2.71,3,      চিকেন থাই সুপ অনেক ভালো ছিলো সাথে পরিমাণ বেশি ছিল। ,Rabiya,
u6mc,23,3.81,42,Good nice ,Maisha,
h3ry,15,2.62,14,"chowmein pura nosto, khawa jai nai,pura falai dici,bed Small kortechiloh.. baki gula thik chilo, amon dish(chowmein)  served kora ucid hoi nai.onk expectations niya order korcilam,  ",Doha,
x6qs,30,3.42,43,I was supposed to rate it with 5 stars but due to poor managing of delivery along with seal sticker coming off while delivery. Forced me to to rate it with 3 stars! ,Syed,
y5vi,1,2.33,1,"আমি সহজে রিভিউ দেই না ,  প্রায় ৪০০ টাকা খরচ করে একটা খালি বক্স দিলেও সান্ত্বনা পেতাম ,  জঘন্য ",Joni,
lizr,21,2.43,12,3 item missing tk necan kento kabar dennai tk o return korennai 5 item teke 2 ta deca tao onk baje..falto,Shirin,
gkca,30,3.0,34,very poor packaging. Didn't even give any straws. sent drinks in paper cups. not recommended. ,Fariha,
x0sy,2,1.5,0,"food was not mexican at all. burrito was soggy. tortillas were not tortillas, excessive sauce usage. sorry to say this chef has no clue about mexican food. very disappointed.",asraarur,
zyq5,4,3.91,7,"খাবারের মান যথেষ্ট ভালো ছিলো, একদম বাড়ির রান্নার মতো, তবে মুরগী টা মন-মত হয়নি, কেমন জানি রেগেছে, বাকীগুলো পারফেক্ট",Hossain,
j4ke,30,3.29,38,Meatbox was good as alwys! ,Saima,
dicf,17,2.72,14,roshnalai ta basi silo,Nabil,
xsw9,1,3.67,1,"খাবারের দাম অনুযায়ী খাবারের কোয়ালিটি আরো ভালো হতে  পারতো,,,, খাবারের মান মোটামুটি,, দাম বেশি রাখা হয়েছে,, এ ধরনের খাবারের সাথে ফ্রি সস বা চাটনি দেওয়া লাগে,,  কিছুই দেয় নাই ",Mohammad,
w4eg,30,2.74,26,Quantity was small according to price. Overall good.,Dipta,
kho3,9,4.5,22,perfect 🤌,mss,
ofnx,11,3.15,15,"It should be name scam wrap like 319tk er premium wrap e lettuce er jaigai badhacopi ke de??!!! Wrap e eto poriman badhacopi dise packet khultei pura room gondho hoi gese , arabian wrap er kono mil na",Nisa,
xrdq,5,1.92,3,বাসমতি চালের বিরিয়ানি দেয়ার কথা থাকলেও চিনিগুঁড়া চালের ঠান্ডা বিরিয়ানি দিয়েছে। মাংসের ছোট ছোট টুকরা দিয়েছে ১৫টাকার বেশি হবে না। রাত বেশি হওয়ায় সেটা দিয়ে ডিনার সেরেছি। খুবই দুঃখজনক। ,Story,
