code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
f430,61148,Chillox - Jamal Khan,Chillox,Chittagong,Anderkilla,0.52,Burgers|Western|Fast Food,4.4,4469,75.0,0.0,40.0,22.34354925,91.8349998,"Equity Antara, 140 Momin Rd, (2nd Floor), Anderkilla, Chattogram-4000",4200,https://foodpanda.com.bd/restaurant/f430/chillox-jamal-khan
dw1w,108493,Crystal Cup - Kazir Dewri,Crystal Cup,Chittagong,Mehedibag,0.84,Beverage|Seafood|Faluda,3.8,6,65.0,0.0,35.0,22.3449485,91.8231344,"Nevel Avenue, CRB Road, Opposite Hall 24, Chattogram",4200,https://foodpanda.com.bd/restaurant/dw1w/crystal-cup-kazir-dewri
auv1,68822,Shumi's Hot Cake - Mehedibagh,Shumi's Hot Cake,Chittagong,Mehedibag,0.11,Cakes|Dessert|Fast Food,4.8,156,50.0,0.0,35.0,22.3527921,91.8253961,"6, Mehedibagh, Dampara, Chawkbazar, Chittagong",4100,https://foodpanda.com.bd/restaurant/auv1/shumis-hot-cake-mehedibagh
k3rl,68643,Domino's Pizza Agrabad,Domino's Pizza,Chittagong,Agrabad,0.43,Italian|Mediterranean|Pizza|Western,4.5,473,0.0,39.0,25.0,22.32747735,91.81286047,"Hotel Agrabad, Sabdar Ali Road, Agrabad C/A, Chittagong – 4000, Bangladesh",4200,https://foodpanda.com.bd/restaurant/k3rl/dominos-pizza-agrabad
zzo9,117225,TACOS TOWN - Chef's Lounge,,Chittagong,Agrabad,0.45,Chicken|Snacks|Rice Dishes|Italian|Pasta|Mediterranean|Meat|Western|Fast Food,0.0,0,50.0,0.0,25.0,22.3277095,91.8050589,"Agrabad Access Road, Chattogram (Opposite S.A. Paribahan)",4100,https://foodpanda.com.bd/restaurant/zzo9/tacos-town-chefs-lounge
z6fg,67060,Takeout - Halishahar (CTG),Takeout,Chittagong,Halishahar,2.01,Burgers|Western|Fast Food,4.8,4078,50.0,0.0,25.0,22.3317752,91.78934115,"C.K. Tower (3rd floor), House No.02 & 04, Road No. 03, Lane- 03, Block- K, Halishahar H/E, Chattogram",4200,https://foodpanda.com.bd/restaurant/z6fg/takeout-halishahar-ctg
l4vs,119622,Al Aqsa Hotel & Biryani House,Al Aqsa Hotel & Biryani House,Chittagong,Akbar Shah,2.31,Curry|Rice Dishes|Indian|Biryani|Asian,4.4,35,50.0,0.0,35.0,22.3561505,91.78378065,"Sagarika intersection, north side of Haqqani petrol pump, Chittagong",4200,https://foodpanda.com.bd/restaurant/l4vs/al-aqsa-hotel-and-biryani-house
si0c,106441,Degchi Bari - Halishahar,Degchi Bari ,Chittagong,Halishahar,1.96,Rice Dishes|Indian|Biryani|Bangladeshi|Asian,3.7,84,50.0,0.0,25.0,22.3281599,91.7890505,"Boropol Circle, Kaptan Villa, Halishahar, Chittagong",4200,https://foodpanda.com.bd/restaurant/si0c/degchi-bari-halishahar
udhn,73422,Mr. Chef - Halishahar,,Chittagong,Halishahar,2.0,Chicken|Snacks|Rice Dishes|Meat|Chinese|Burgers|Western|Asian|Dumpling|Faluda,4.2,372,50.0,0.0,25.0,22.3295091,91.7894729,"Boropool, Behind Halishahar Police Box, Halishahar",4200,https://foodpanda.com.bd/restaurant/udhn/mr-chef-halishahar
keyb,93983,Degchi Dine,,Chittagong,Halishahar,1.97,Turkish|Kebab|Curry|Rice Dishes|Middle Eastern,4.2,282,50.0,0.0,30.0,22.32818295,91.78908785,"Boropol Circle, Kaptan Villa, Halishahar, Chittagong",4214,https://foodpanda.com.bd/restaurant/keyb/degchi-dine
t7hu,12254,Royal Hotel & Restaurant,Royal Hotel & Restaurant,Chittagong,Halishahar,2.0,Bangladeshi|Asian,4.1,1834,50.0,0.0,20.0,22.3291128,91.7894554,"Boropol Mor, Halishohor",4200,https://foodpanda.com.bd/restaurant/t7hu/royal-hotel-and-restaurant-t7hu
gkca,85801,SUGAR SHORE,,Chittagong,Agrabad,1.65,Juice Corner|Snacks|Beverage|Dessert,4.4,129,50.0,0.0,30.0,22.3297625,91.7934531,"Agrabad Access Road , NR Tower ,Plot#07, Road#02, Lane#01, Block#L, Halishaher Housing State, , 4224",4224,https://foodpanda.com.bd/restaurant/gkca/sugar-shore
qves,124763,Tasty Treat-Mogoltuli-Agrabad-CTG,Tasty Treat,Chittagong,Agrabad,0.73,Cakes|Dessert|Fast Food,0.0,0,65.0,0.0,25.0,22.32782565,91.81583235,59-Agrabad jame mosque market-shop no-1-Agrabad-CTG,4000,https://foodpanda.com.bd/restaurant/qves/tasty-treat-mogoltuli-agrabad-ctg
yurr,65624,Boithok Khana,Boithok Khana,Chittagong,Halishahar,1.57,Rice Dishes|Italian|Pasta|Beverage|Mediterranean|Western|Fast Food,4.5,1095,50.0,0.0,35.0,22.3417122,91.7766472,"Halishahr, House 01, Road 01, Lane 09, Block-B, Chattogram",4226,https://foodpanda.com.bd/restaurant/yurr/boithok-khana-yurr
