code,name,chain,city,area,cuisines,rating,reviews,min_order,delivery_fee,delivery_time_min,lat,lng,address,post_code
vjj5,Roosters Peri Peri-Banani,Roosters Peri Peri,Dhaka,,Snacks,4.9,30,50.0,78.0,0.0,23.7903093,90.40864975,"house 39, road 11,  block H, Subastu Jahanara Square 2nd Floor",1213
wjxg,Biriyanir Boithok,,Dhaka,,Rice Dishes|Indian|Biryani|Asian,3.8,9,50.0,78.0,0.0,23.7934049,90.42547811,"Shahjadpur, G P Ga 27/1 baitun nur jame mosjid 30 akor mosjid er pashe, 1212 Vatara, Dhaka, Bangladesh",1212
crwf,Momo Mela,,Dhaka,,Snacks|Chinese|Bangladeshi|Asian|Dumpling,0.0,2,50.0,78.0,35.0,23.7942909,90.4231781,bashtola road,1212
sntl,Maa Er Hath Er Ranna,,Dhaka,,Curry|Rice Dishes,0.0,0,50.0,78.0,35.0,23.79369836,90.42521801,"বায়তুল নূর স্বামী মসজিদ এর পাশের গেট, শাহজাদপুর, বাড্ডা, 2nd Floor. Baitoonnur jame Moshjid er pasher Gate, 1212 গুলশান ২, ঢাকা, Bangladesh",1212
dxml,Momo Wala,,Dhaka,,Snacks|Chinese|Bangladeshi|Asian|Dumpling,0.0,1,50.0,78.0,35.0,23.7942317,90.423549,"Sahazadpur Bashtola, Beside of Indian High Commission Emmabsy, Gulshan-2",1212
sn0w,Imran Food Valley,,Dhaka,,Snacks|Curry|Rice Dishes,0.0,0,50.0,78.0,0.0,23.777765,90.434547,"Bakul Nessa (B.N.) High School opposite side, Hazi Jawab Ali Nawab Ali Road, Purba Badda, Dhaka 1212",1212
jkk8,Naval Point - Gulshan,Naval Point,Dhaka,,Seafood,4.8,30,50.0,78.0,0.0,23.79412324,90.41431336,"Plot - 33, Road - 46, (Opposite of American Burger), Gulshan-2, Dhaka - 1212",1212
oewu,Thai Momo,,Dhaka,,Asian|Fast Food|Thai,4.9,22,50.0,78.0,35.0,23.7944609,90.4231517,"Sahazadpur Bashtola, Beside of Indian High Commission Embassy, Gulshan-2",1212
ylmb,My Home kitchen,,Dhaka,,Snacks|Curry|Rice Dishes|Dessert|Bangladeshi|Asian,4.3,5,50.0,78.0,35.0,23.7793639,90.4036859,"মহাখালী হাজারি বাড়ি পশু হসপিটালের ছোট মসজিদ, জি. পি.গ ১২১ নং বাসা Mohakhali hajari bari choto mosjid er samne জি.পি.গ ১২১নং বাসা, 1213 Banani, Dhaka, Bangladesh",1213
fe5s,Momo House,,Dhaka,,Snacks|Chinese|Asian|Dumpling,3.0,3,50.0,78.0,35.0,23.79448,90.4232564,"Shahzadpur, Bashtola 
High Commission of Indian Embassy beside",1212
k6tx,Mother's bhorta kitchen,,Dhaka,,Bangladeshi|Asian,0.0,0,50.0,78.0,0.0,23.77673322,90.40417751,"7 IPH Mosque Rd, IPH Mosque Rd 7, 1212 Gulshan 1, Dhaka, Bangladesh",1212
os2g,Karaachi Dastarkhwan,,Dhaka,,Turkish|Kebab|Middle Eastern,4.4,15,50.0,78.0,35.0,23.7905967,90.4078082,"Plot #67/D (6th Floor, Green Deluxe, Road No. 11, Dhaka 1213",1213
qr7f,New King Kitchen,,Dhaka,,Snacks|Burgers|Western,3.8,10,50.0,78.0,0.0,23.7947172,90.4153636,"shop no-101, shop -101 dncc gulshan 2 kacha bazar",1212
rw6v,Cp Five Star - Happy Food Corner - Shahjadpur,CP Five Star,Dhaka,,Chicken|Meat|Fast Food|Fried Chicken,4.7,22,50.0,78.0,0.0,23.7941073,90.4254946,"Kabarsthan, 963, Khilbarirtek, Shahjadpur, Rd - 8/C, Dhaka 1212",1212
