code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
u0xt,15991,Secret Recipe Gulshan-2 Flagship,Secret Recipe,Dhaka,Banani,0.82,Cakes|Italian|Mediterranean|Soups|Sandwiches|Pizza|Dessert|Burgers|Western|Fast Food,4.9,3399,50.0,0.0,20.0,23.7987056,90.4124694,"House-12B, Road-55-Gulshan North Avenue, Dhaka.",1212,https://foodpanda.com.bd/restaurant/u0xt/secret-recipe-gulshan-2-flagship
s0cw,1613,Pizza Hut - Banani,Pizza Hut,Dhaka,Banani,0.56,Italian|Mediterranean|Pizza|Western,4.8,2639,0.0,70.0,30.0,23.7912658,90.4017411,"Plot- 50, Road- 11, Block- C, Banani Police Station, Banani",1213,https://foodpanda.com.bd/restaurant/s0cw/pizza-hut-banani
s9lo,1850,Chatime - Banani,Chatime,Dhaka,Banani,0.11,Beverage,4.9,7359,50.0,0.0,25.0,23.79365845,90.40554695,"House No. 40, Kamal Ataturk Avenue, Banani, Dhaka",1213,https://foodpanda.com.bd/restaurant/s9lo/chatime-banani
m66w,74631,CP Five Star - SM Food Corner - Shahjadpur,CP Five Star,Dhaka,Badda,1.27,Chicken|Meat|Fast Food|Fried Chicken,4.3,141,50.0,0.0,30.0,23.79137768,90.4250196,"Ga 11/1, Opposite of Badda General Hospital, Shajadpur, Dhaka",1212,https://foodpanda.com.bd/restaurant/m66w/cp-five-star-sm-food-corner-shahjadpur
s0uc,2552,Cooper's- Banani,Cooper's,Dhaka,Banani,0.39,Cakes|Snacks|Dessert|Faluda,4.9,2752,50.0,0.0,20.0,23.790465,90.408197,"Plot# 116, Road# 11, Block# E, Banani, Dhaka",1213,https://foodpanda.com.bd/restaurant/s0uc/coopers-banani
ccej,65628,Delifrance - Casablanca,Delifrance Gulshan Avenue,Dhaka,Gulshan,1.0,Cakes|Beverage|Fast Food,4.9,1282,50.0,0.0,20.0,23.7892033,90.4165361,"114 Casablanca (1st floor),  Gulshan Ave, Dhaka 1212",1212,https://foodpanda.com.bd/restaurant/ccej/delifrance-casablanca
fqbl,77223,Ledor  Banani,Ledor,Dhaka,Banani,0.35,Dessert|Fast Food,4.8,155,50.0,0.0,20.0,23.7905374,90.4064558,"plot 2 Rd No. 11, Banani",1213,https://foodpanda.com.bd/restaurant/fqbl/ledor-banani
ag1f,95292,Kacchi Ghor - Gulshan 2,Kacchi Ghor,Dhaka,Banani,0.89,Rice Dishes|Indian|Biryani|Asian,3.3,84,50.0,0.0,20.0,23.7952632,90.415185,"Gulshan 02, DNCC Market Kacha Bazar, Shop - A/3, Dhaka - 1212",1212,https://foodpanda.com.bd/restaurant/ag1f/kacchi-ghor-gulshan-2
s3ak,1476,Gloria Jean's Coffee-Gulshan 2,Gloria Jean's Coffee-Gulshan,Dhaka,Baridhara,0.53,Beverage|Cafe|Fast Food,4.9,2525,50.0,0.0,25.0,23.80410735,90.4128848,"House No 2B, Block- B, Rd No 71",1212,https://foodpanda.com.bd/restaurant/s3ak/gloria-jeans-coffee-gulshan-2
s7tz,1595,Burger King Banani,Burger King,Dhaka,Banani,0.42,Snacks|Burgers|Western,4.9,8166,50.0,0.0,25.0,23.7911251,90.4035628,"House-104, Block-C, Road-11, Banani",1213,https://foodpanda.com.bd/restaurant/s7tz/burger-king-banani
uhno,71032,Coffee World - Banani,Coffee World - Banani,Dhaka,Banani,0.41,Beverage|Cafe,4.9,82,50.0,0.0,20.0,23.7907682,90.4041255,"House 32, Road No. 11, Dhaka 1212",1213,https://foodpanda.com.bd/restaurant/uhno/coffee-world-banani
qr7f,75910,New King Kitchen,,Dhaka,Banani,0.9,Snacks|Burgers|Western,3.8,29,50.0,0.0,30.0,23.7947172,90.4153636,"shop no-101, shop -101 dncc gulshan 2 kacha bazar",1212,https://foodpanda.com.bd/restaurant/qr7f/new-king-kitchen
ze1s,83821,L'eto Food,,Dhaka,Gulshan,0.42,Steak|Curry|Italian|Pasta|Mediterranean|Meat|Western|Fast Food,4.6,25,50.0,0.0,30.0,23.7831707,90.41626541,"BTI Landmark, Ground Floor, 16 Gulshan Ave, Dhaka 1212",1212,https://foodpanda.com.bd/restaurant/ze1s/leto-food
kpul,68269,La Tarte,La Tarte,Dhaka,Gulshan,0.3,Cakes|Dessert|Bakery,4.8,292,50.0,0.0,25.0,23.7793433,90.416717,"House 35, S.W, Rd No 11, Gulshan 1 Circle",1212,https://foodpanda.com.bd/restaurant/kpul/la-tarte
v7oh,73992,Mithai- Baridhara,Mithai - Dhaka,Dhaka,Baridhara,0.61,Cakes|Dessert|Doi|Fast Food,4.7,234,50.0,0.0,0.0,23.80177585,90.42282865,"Plot 40,Road-09, Block-J, Pragati Sarani, Baridhara, Dhaka",1212,https://foodpanda.com.bd/restaurant/v7oh/mithai-baridhara
f13h,41181,Indulge - Banani,Indulge,Dhaka,Banani,0.36,Beverage|Dessert|Fast Food,4.8,269,50.0,0.0,0.0,23.79336005,90.40307355,"Road no..17 c/a House no.5.Banani  ,Dhaka 1213",1213,https://foodpanda.com.bd/restaurant/f13h/indulge-banani
mvlg,68805,Shumi's Hot Cake - Banani,Shumi's Hot Cake,Dhaka,Banani,0.43,Cakes|Dessert|Fast Food,4.9,1480,50.0,0.0,0.0,23.7909008,90.4036795,"House-50, Rd-11, Block-F, Banani, Dhaka.",1213,https://foodpanda.com.bd/restaurant/mvlg/shumis-hot-cake-banani-mvlg
oc63,45529,Utshob - Chef's Table Gulshan 2,UTSHOB,Dhaka,Banani,0.89,Snacks|Curry|Rice Dishes|Beverage|Dessert|Bangladeshi|Doi|Asian,4.8,774,50.0,0.0,0.0,23.7956002,90.4150828,"Gulshan Central Point, House#23-26, Road#90-91, Gulshan 2, Dhaka 1212",1212,https://foodpanda.com.bd/restaurant/oc63/utshob-chefs-table-gulshan-2
