vendor_code,review_count,avg_rating,positive_count,sample_review_text,sample_reviewer,sample_rating
n3i9,8,3.5,12,"লাউ চিংড়ি তে চিংড়ি পেলাম না। পাঙ্গাস মাছ থেকে কাচা মসলার গন্ধ যায়নি, বোধহয় তাড়াহুরো করে রানা করা, খেতে একেবারেই সুস্বাদু না।  ",Rumman,
geef,3,2.14,1,Taste is not good at all!,Matiul,
k20q,2,1.8,1,"purchased chamcham from your shop, and unfortunately, the product did not meet expected quality standards. The chamcham had an unpleasant smell and an off taste, ",Hasan,
rd27,1,3.0,0,low quantity ,Maruf,
xrb5,11,3.3,15,Parcel are not match with order ....it's not good.,Shuvanroy,
npsr,5,3.0,6,The food wasn't fresh. ,Faozia,
y661,30,3.14,37,The pudding was awful ,Brishti,
ia82,23,3.22,31,"Good, but appreciate more if the discount applied ",Ahliya,
pxxc,6,2.41,5,amar life emon kharap pizza eto low quality eto baje pizza dekhi nai,Rajib,
cyta,20,3.98,33,Motamoti manet,Mr,
cmw0,2,2.33,2,I found a piece of hair in the box,Md,
s9k2,3,3.0,3,Very disgusting… there was a weird smell in the pasta,Faiyaaz,
pjmj,14,4.24,28,Top Notch !!! ,Penguin,
f6py,24,3.03,28,Mediocre taste. Not worth it. Salmon and tuna were mostly bland maybe they were old and the chicken bbq was not very good and neither was the dumplings,Ismail,
yred,16,2.74,13,not recommended at all. i have been ordering from them since 2023 and each time they send the worst piece in foodpanda. never got any decent piece. they taste like two days old. very disappoiting.,Jayed,
gu1e,5,3.55,7,good taste ,Md.,
nnk0,1,5.0,3,Very good food with budget price,Musaddiq,
eexu,5,3.33,6,প্যাকেজিং প্রতি যত্নবান হওয়া উচিত। খাবার এভারেজ।,Nasim,
zfg5,23,3.21,35,একটা পরোটা ২৫ টাকা করে রাখলেন সাইজ এত ছোট আর পাতলা কি আর বলব। হোটেল এর ১০ টাকার পরোটা ও আপনাদের পরোটার থেকে মোটা আর বড়। ,Farabe,
ypb5,30,3.51,41,good service ,Rumi,
z6qs,30,4.06,54,The chicken was spoiled it was smelling too bad i gut sick after one bite  the way virus are spreading they should be get sued because of this,Amena,
dh21,10,2.63,11,"excessively sweet.. each item..! Not edible enough.. moreover, chowmin is highly salted..!",Imrul,
a3gh,19,2.77,17,bro it's so so good I love this 😀 🙌 ,muna,
dj8p,23,3.81,39,"Me and my wife got sick after having their food, although it didn't taste bad",Ashiq,
j4w2,30,4.18,61,The wonton is amazing but everything else was so little and tasted so bad,Tahiya,
cpk8,24,3.95,44,"one of the best momos out there 
",Fatema,
csw6,10,3.15,12,"That ramen menu is a scam. 0/10, complete waste of money. One of the worst decisions I’ve made in my life. Do not recommend.",Afrha,
a9ws,20,3.64,31,Ora majhe majhe moja kore banai ar majhe majhe ekdom khawa jai ,Farzana,
m70b,30,3.17,38,"I expected much better because of other reviews, But I was disappointed. Pasta was bitter as it was Almost burnt. The lolipop had a bad smell to it ",Shariar,
kr52,1,5.0,3,Burger ta khub valo chilo and Fresh.❤️,Sathi,
mwc0,27,2.63,21,order korechi mixed fried rice ar dise egg fried rice.. ar crispy fried chicken er bodole ki jani akta dise,Rubina,
vhow,30,2.64,24,Alu bhaji te lobon beshi.. paratha average,Fahmid,
