code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
i2tn,78570,Padma Modern Kitchen,,Rajshahi,Rajshahi Sadar,1.87,Snacks|Beverage|Burgers|Western|Fast Food,4.4,8,50.0,0.0,35.0,24.3759064,88.6225712,"ইসলামী ব্যাংক টাওয়ার, ভদ্রা মোড়, রাজশাহী",6204,https://foodpanda.com.bd/restaurant/i2tn/padma-modern-kitchen
wtqb,115303,Snack Attack,,Rajshahi,Rajshahi Sadar,1.89,Snacks,0.0,0,50.0,0.0,35.0,24.3815352,88.6211738,"Padma Abashik, 379 Road 08, 6207 Rajshahi University, Rajshahi, Bangladesh",6207,https://foodpanda.com.bd/restaurant/wtqb/snack-attack-wtqb
seo5,76212,Barsan,,Rajshahi,Rajshahi Sadar,0.79,Curry|Rice Dishes,2.9,187,50.0,0.0,35.0,24.3678059,88.6014487,"Sufia  criti Billa, H/L- 9, Word no12,- Ranibazar Road, Ranibazar Rd Ranibazar chattor er purbo pashe, 6500 জিরো পয়েন্ট, রাজশাহী, Bangladesh",6500,https://foodpanda.com.bd/restaurant/seo5/barsan
mmf1,77185,Pastry Shop & Chocolate Bazaar,,Rajshahi,Rajshahi Sadar,0.89,Dessert,1.5,5,50.0,0.0,35.0,24.36716,88.60076,"Prince Tower ground floor,  gonokpara , New Widened Road, Rajshahi 6100",6100,https://foodpanda.com.bd/restaurant/mmf1/pastry-shop-and-chocolate-bazaar
vhcd,78184,Mollah Tehari Ghor,,Rajshahi,Rajshahi Sadar,1.08,Rice Dishes,3.3,362,50.0,0.0,35.0,24.36546574,88.60015243,"Zero point , Shabe bazar, Rajshahi",6000,https://foodpanda.com.bd/restaurant/vhcd/mollah-tehari-ghor
aq41,76829,Hotel Bari,,Rajshahi,Rajshahi Sadar,0.71,Snacks|Bangladeshi|Asian,4.9,7,50.0,0.0,35.0,24.3699126,88.5992873,"Mohila College Road, 1th floor , Madhuban Multicuisine Restaurant, Rajshahi",6000,https://foodpanda.com.bd/restaurant/aq41/hotel-bari
grvo,100756,Everyday Kitchen,,Rajshahi,Rajshahi Sadar,2.38,Sweets|Dessert|Bangladeshi|Asian,0.0,0,50.0,0.0,35.0,24.38775833,88.62261785,"Choto Bongram, 142/22, Purbo Para Opposite of Madina Nagar Jame Masjid, 6207 Zero Point, Rajshahi, Bangladesh",6207,https://foodpanda.com.bd/restaurant/grvo/everyday-kitchen
vux0,102709,Nasta Ghor,,Rajshahi,Rajshahi Sadar,0.39,Bangladeshi|Asian,0.0,0,50.0,0.0,35.0,24.3746497,88.6003665,"TB Pukur Lake Par, Bokkshobadhhi Hospital er shamne, Lake Par Dingadoba Bank Colony, Zero Point–2000, Rajshahi, Bangladesh",2000,https://foodpanda.com.bd/restaurant/vux0/nasta-ghor-vux0
r9gu,76992,New Salim Hotel,,Rajshahi,Rajshahi Sadar,1.18,Curry|Rice Dishes,3.1,163,50.0,0.0,35.0,24.36580798,88.59749908,"Moni Chottor,  Zero Point, besides of Salim hotel , Rajshahi, Bangladesh",6001,https://foodpanda.com.bd/restaurant/r9gu/new-salim-hotel
flwj,72829,Art Box Cafe,,Rajshahi,Rajshahi Sadar,0.75,Snacks|Beverage,2.6,9,50.0,0.0,35.0,24.3779591,88.5978342,"Uposhohor New Market, Beside Shahid A.H.M. Kamaruzzaman Govt. Degree College, Rajshahi",6205,https://foodpanda.com.bd/restaurant/flwj/art-box-cafe
y22h,78176,Mezba Home Kitchen & Biriyani House,,Rajshahi,Rajshahi Sadar,1.88,Curry|Rice Dishes|Bangladeshi|Asian,3.2,113,50.0,0.0,35.0,24.3911081,88.6005559,"HOUSE N0- 40/1, MOTHUR DANGA MOSJID INFRONT, DITHOL VAI ER KARKANA INFRONT GOLI, SOFURA,  BOALLIA , RAJSHAHI",6000,https://foodpanda.com.bd/restaurant/y22h/mezba-home-kitchen-and-biriyani-house
fpyq,128368,TN Kitchen,,Rajshahi,Rajshahi Sadar,3.31,Bangladeshi|Asian,0.0,0,50.0,0.0,35.0,24.3772151,88.5716305,Vatapara rajpara Rajshahi,6000,https://foodpanda.com.bd/restaurant/fpyq/tn-kitchen
nab1,81561,Somiya's Kitchen,,Rajshahi,Rajshahi Sadar,4.0,Curry|Rice Dishes|Bangladeshi|Asian,4.5,171,50.0,0.0,35.0,24.3759914,88.5647589,"Road, Alia madrasha,Guidance School Rajshahi, Alia madrasa, Road, Rajshahi, Bangladesh",6000,https://foodpanda.com.bd/restaurant/nab1/somiyas-kitchen
vx8o,105638,SA Cake Corner,,Rajshahi,Rajshahi Sadar,5.04,Cakes|Dessert,4.8,5,50.0,0.0,35.0,24.3802706,88.5548276,"Court Station Road, Raypara rail crossing, Khashia Danga Thana , Court station -6201 , রাজশাহী, Bangladesh",6201,https://foodpanda.com.bd/restaurant/vx8o/sa-cake-corner
nfht,128480,Abira Cafe,,Rajshahi,Rajshahi Sadar,1.35,,2.0,6,50.0,0.0,35.0,24.37147169,88.61713643,"187 Baliapukur Rd, Baliapukur Rd, 187",6300,https://foodpanda.com.bd/restaurant/nfht/abira-cafe
o653,77159,Tasty Treat-Rajshahi University,Tasty Treat,Rajshahi,Rajshahi Sadar,3.45,Cakes|Dessert|Fast Food,4.1,39,50.0,0.0,25.0,24.36924255,88.6377569,"Shop no-26, Paribahan Market, Amtola, Motihar, Rajshahi",6000,https://foodpanda.com.bd/restaurant/o653/tasty-treat-rajshahi-university
xn2m,64782,Tasty Treat- Olokar Mor,Tasty Treat,Rajshahi,Rajshahi Sadar,0.6,Cakes|Snacks|Dessert,4.2,196,50.0,0.0,25.0,24.3693817,88.6022764,"Holding- 89, Oloker mor,Ranirbazar Gorohanga road, Ghoramara Boalia, Rajshahi",6200,https://foodpanda.com.bd/restaurant/xn2m/tasty-treat-olokar-mor
whkv,60189,Tasty Treat - Kadirganj - Rajshahi,Tasty Treat,Rajshahi,Rajshahi Sadar,0.47,Cakes|Dessert|Fast Food,4.6,384,50.0,0.0,20.0,24.37284775,88.59993595,"286/A ,Kadirganj,Sosthitola ,Rajshahi Sodor",6200,https://foodpanda.com.bd/restaurant/whkv/tasty-treat-kadirganj-rajshahi
jefe,63537,Tasty Treat - New Market Rajshahi,Tasty Treat,Rajshahi,Rajshahi Sadar,0.76,Cakes|Dessert|Fast Food,4.6,579,50.0,0.0,20.0,24.3780738,88.597751,"House # 01 ,Sector # 01,Uposohor new market , Rajshahi",6200,https://foodpanda.com.bd/restaurant/jefe/tasty-treat-new-market-rajshahi
