code,id,name,chain,city,area,area_dist_km,cuisines,rating,reviews,min_order,delivery_fee,delivery_min,lat,lng,address,post_code,url
th5b,51340,Delhi Kitchen,Delhi Kitchen,Cox'S Bazar,Court Bari,0.34,Turkish|Kebab|Snacks|Curry|Rice Dishes|Middle Eastern|Beverage|Indian|Doi|Asian,4.4,3290,50.0,0.0,30.0,21.4403868,91.9756803,"Central Eidgah Jame Mosjid Complex, Al Haz Siraj Ahmed Najir Road, Cox's Bazar Sadar, Cox's Bazar",4700,https://foodpanda.com.bd/restaurant/th5b/delhi-kitchen-th5b
bi24,32890,Pasta Club - Cox's Bazar,Pasta Club,Cox'S Bazar,Court Bari,0.66,Italian|Pasta|Mediterranean|Western|Fast Food,4.7,1689,50.0,0.0,35.0,21.4423851,91.9816216,"Pasta Club Cox's Bazar, Ghata Main Rd, Cox's Bazar 4700",4700,https://foodpanda.com.bd/restaurant/bi24/pasta-club-coxs-bazar
hskm,66258,Cafe Champatoli,Cafe Champatoli,Cox'S Bazar,Court Bari,0.32,Snacks|Rice Dishes|Beverage|Soups,4.7,1288,50.0,0.0,35.0,21.4435914,91.9722531,"Ghumgachtola, Opposite to 'Pubali Bank Limited', Cox's Bazar Sadar, Cox's Bazar",4700,https://foodpanda.com.bd/restaurant/hskm/cafe-champatoli
g7pa,98273,Home Flavour,Shad Roti,Cox'S Bazar,Court Bari,1.58,Snacks|Curry|Rice Dishes|Bangladeshi|Asian,4.5,110,50.0,0.0,50.0,21.4441934,91.9905106,"Brick Field Road, North Rumaliachora, kabir bhaier Building 4th floor, Brick Field Road, North Rumaliachora, 4700 কক্সবাজার সদর, কক্সবাজার, Bangladesh",4700,https://foodpanda.com.bd/restaurant/g7pa/home-flavour-g7pa
xusy,77850,CP Five Star - Sugondha,CP Five Star,Cox'S Bazar,Court Bari,2.0,Chicken|Meat|Fast Food,4.2,121,50.0,0.0,20.0,21.4257044,91.97897965,"Sugondha Beach Point, In Front of Long Beach Hotel, Cox's Bazar",4700,https://foodpanda.com.bd/restaurant/xusy/cp-five-star-sugondha
rslf,39522,Jubaida’s Kitchen,Jubaida’s Kitchen,Cox'S Bazar,Court Bari,2.38,Snacks|Italian|Mediterranean|Pizza|Western,3.5,424,50.0,0.0,35.0,21.4370765,91.9972598,"Beside City College Gate, Alir Zahan Main Rd, Cox's Bazar (Shikder Tower # 8th floor)",4700,https://foodpanda.com.bd/restaurant/rslf/jubaidas-kitchen
wb7n,71051,Paragon Momo - Shwapno Jhawtola,Paragon Momo,Cox'S Bazar,Court Bari,0.4,Snacks,4.7,269,50.0,0.0,30.0,21.443037,91.9714076,"Beside Zaman Restaurant & Kabab House, Jhawtola Main Rd, Cox's Bazar",4700,https://foodpanda.com.bd/restaurant/wb7n/paragon-momo-shwapno-jhawtola
s9fv,5161,Food Buzzz - Cox's Bazar,Food Buzzz - Cox's Bazar,Cox'S Bazar,Court Bari,0.61,Burgers|Western|Fast Food,4.2,679,50.0,0.0,25.0,21.440387,91.980244,"East Goaldigir Par, Cox's Bazar",4700,https://foodpanda.com.bd/restaurant/s9fv/food-buzzz-coxs-bazar
s9en,5062,Second Home - Cox's Bazar,Second Home - Cox's Bazar,Cox'S Bazar,Court Bari,1.68,Snacks|Asian|Fast Food,3.9,866,50.0,0.0,35.0,21.42844395,91.9732592,"Parjatan Zinuk Market, Laboni beach point, Cox's Bazar - 4700",4700,https://foodpanda.com.bd/restaurant/s9en/second-home-coxs-bazar
hwd8,90920,Nusaiba Kitchen,,Cox'S Bazar,Court Bari,1.19,Bangladeshi|Asian,3.6,205,50.0,0.0,30.0,21.438064,91.9852375,"South Pahartoli Road, South Pahartoli Road, H- Moshekhali building , South Pahartoli Road, Cox's Bazar Sadar, Cox's Bazar, Bangladesh, Cox's Bazar, Bangladesh",,https://foodpanda.com.bd/restaurant/hwd8/nusaiba-kitchen-hwd8
gssd,74543,Tasty Treat - Suganda Point,Tasty Treat,Cox'S Bazar,Court Bari,1.86,Cakes|Dessert|Fast Food,4.7,138,50.0,0.0,20.0,21.4268877,91.9783532,Hotel Sea park-Suganda point. Cox'sbazar,4700,https://foodpanda.com.bd/restaurant/gssd/tasty-treat-suganda-point
t0ad,7087,Tastease,Tastease,Cox'S Bazar,Court Bari,0.16,Snacks|Burgers|Western,4.4,1500,50.0,0.0,35.0,21.44310445,91.97682565,"Ground Floor, Shafique Center, Main road, Coxbazar",4700,https://foodpanda.com.bd/restaurant/t0ad/tastease
w9zn,41384,Sugar Boulangerie & Patisserie,Sugar Boulangerie & Patisserie,Cox'S Bazar,Court Bari,1.77,Beverage|Cafe|Dessert|Bakery,4.9,1401,50.0,0.0,25.0,21.4276191,91.9775901,"Sugar Boulangerie & Patisserie, Plot 10, Kolatoli Road, Cox's Bazar 4700",4700,https://foodpanda.com.bd/restaurant/w9zn/sugar-boulangerie-and-patisserie
zozo,87785,NIRIBILI Restaurant,,Cox'S Bazar,Court Bari,1.8,Rice Dishes,3.3,20,50.0,0.0,25.0,21.42738245,91.9776888,"Plot 10, beside salt, kolatoli, cox’s bazar",4700,https://foodpanda.com.bd/restaurant/zozo/niribili-restaurant
w5xd,77105,Cream & Bun - Kolatoli,Cream & Bun,Cox'S Bazar,Court Bari,2.59,Snacks|Dessert|Bakery,4.1,45,50.0,0.0,35.0,21.4211875,91.9829375,"Plot-58, Block-C, Hotel Motel Zone, Cox's Bazar 4700",4700,https://foodpanda.com.bd/restaurant/w5xd/cream-and-bun-kolatoli
xof7,81617,Favorita Bakery & Pastry,,Cox'S Bazar,Court Bari,0.39,Snacks|Beverage|Cafe|Dessert,4.3,6,50.0,0.0,30.0,21.4431125,91.9715469,"Jawtola, Main Road, Cox`s Bazar",4700,https://foodpanda.com.bd/restaurant/xof7/favorita-bakery-and-pastry-xof7
okot,64432,Atlantis Dine,,Cox'S Bazar,Court Bari,1.43,Seafood,4.8,453,50.0,0.0,35.0,21.4305237,91.9747855,"Atlantis Dine, Laboni Beach Road, Cox's Bazar Sadar, Cox's Bazar",4700,https://foodpanda.com.bd/restaurant/okot/atlantis-dine
gm0l,72741,Thanda Garam - Cox's Bazar,Thanda Garam,Cox'S Bazar,Court Bari,3.18,Juice Corner|Beverage,4.4,96,50.0,0.0,25.0,21.41576449,91.98316121,"99 Bridal House, Cox's Bazar Marine Dr In Front of 99 Bridal House, 4700 Cox's Bazar Sadar, Cox's Bazar, Bangladesh",4700,https://foodpanda.com.bd/restaurant/gm0l/thanda-garam-coxs-bazar
e4tg,113010,Kitchen Of Nadiya,,Cox'S Bazar,Court Bari,1.89,Curry|Rice Dishes|Bangladeshi|Asian,1.3,13,50.0,0.0,40.0,21.428104,91.9832073,"দক্ষিণ পাহাড়তলী, সাত্তার ঘোনা মাঠ,৭নং ওয়ার্ড, কক্সবাজার  পৌরসভা, কক্সবাজার, Bangladesh",4700,https://foodpanda.com.bd/restaurant/e4tg/kitchen-of-nadiya
yk7s,73119,Family Feast Kitchen,,Cox'S Bazar,Court Bari,1.42,Snacks|Fast Food,2.0,119,50.0,0.0,45.0,21.437088,91.9871755,"Haji Shafiullah Mansion, Purbo Pahartali, Cox’s Bazar. Opposite Rubel’s Tea Stall, on the road in front of Yunus Khan’s house",4700,https://foodpanda.com.bd/restaurant/yk7s/family-feast-kitchen
